ID,Nama Pekerjaan,Bidang Pekerjaan,Deskripsi Diri
1024,Teknisi Barang Elektrik,Teknisi,Melakukan penggantian atau instalasi kembali komponen yang mengalami kerusakan pada perangkat elektronik.
1025,Teknisi Mesin,Teknisi,"Mendiagnosis, memperbaiki, dan melakukan perawatan rutin terhadap mesin-mesin untuk memastikan kinerja yang optimal."
1026,Teknisi Mesin,Teknisi,"Melakukan identifikasi, memperbaiki, dan melakukan pemeliharaan rutin pada mesin-mesin guna memastikan bahwa performanya mencapai tingkat optimal."
1027,Teknisi Mesin,Teknisi,"Melakukan pengecekan, perbaikan, dan perawatan reguler pada mesin-mesin agar bisa beroperasi dengan baik."
1028,Teknisi Mesin,Teknisi,"Melakukan pemasangan, perakitan, dan penyetelan mesin-mesin baru sesuai dengan spesifikasi teknis dan rekomendasi pabrik."
1029,Teknisi Mesin,Teknisi,"Melaksanakan penempatan, konstruksi, dan penyesuaian mesin-mesin terbaru dengan mematuhi spesifikasi teknis dan saran produsen."
1030,Teknisi Mesin,Teknisi,"Melakukan instalasi, pembuatan, dan penyesuaian mesin-mesin baru sesuai dengan spesifikasi teknis dan pedoman pabrik."
1031,Teknisi Mesin,Teknisi,"Memiliki pengetahuan yang kuat tentang mesin-mesin, termasuk pemahaman mendalam tentang bagian-bagian mesin, fungsi, dan cara kerja masing-masing komponen."
1032,Teknisi Mesin,Teknisi,"Memiliki pemahaman yang mendalam mengenai mesin-mesin, termasuk pengetahuan yang kuat tentang komponen-komponen mesin, fungsinya, dan bagaimana setiap komponen bekerja."
1033,Teknisi Mesin,Teknisi,"Mempunyai keahlian yang mendalam tentang mesin-mesin, termasuk pemahaman yang kuat tentang bagian-bagian mesin serta mekanisme kerja yang diterapkan oleh setiap komponen."
1034,Teknisi Otomotif,Teknisi,"Mendiagnosis masalah, melakukan perbaikan, dan pemeliharaan terhadap kendaraan bermotor seperti mobil, truk, atau sepeda motor."
1035,Teknisi Otomotif,Teknisi,"Melakukan pengecekan, memperbaiki, dan merawat kendaraan bermotor seperti mobil, truk, atau sepeda motor dengan tujuan mendiagnosa dan memperbaiki masalah yang ada.M"
1036,Teknisi Otomotif,Teknisi,"Melakukan identifikasi masalah, melakukan perbaikan, dan menjaga kondisi kendaraan bermotor seperti mobil, truk, atau sepeda motor."
1037,Teknisi Otomotif,Teknisi,"Melakukan diagnosis, perbaikan, dan pemeliharaan berbagai sistem kendaraan seperti mesin, transmisi, sistem rem, suspensi, dan sistem lainnya."
1038,Teknisi Otomotif,Teknisi,"Melaksanakan pengecekan, perbaikan, dan menjaga keberlanjutan berbagai sistem kendaraan seperti mesin, transmisi, sistem pengereman, suspensi, dan sistem-sistem lainnya."
1039,Teknisi Otomotif,Teknisi,"Melakukan identifikasi masalah, perbaikan, dan perawatan berbagai komponen kendaraan seperti mesin, transmisi, sistem pengereman, suspensi, dan sistem lainnya."
1040,Teknisi Otomotif,Teknisi,"Melakukan pemeriksaan rutin, perawatan, dan penggantian bagian-bagian yang rusak atau aus pada kendaraan."
1041,Teknisi Otomotif,Teknisi,"Melakukan pengecekan secara teratur, perawatan, serta penggantian komponen yang mengalami kerusakan atau keausan pada kendaraan."
1042,Teknisi Otomotif,Teknisi,"Melakukan inspeksi berkala, pemeliharaan, dan penggantian komponen yang rusak atau terkikis pada kendaraan."
1043,Teknisi Alat Berat,Teknisi,"Mendiagnosis dan memperbaiki berbagai masalah mekanikal, hidrolik, atau elektrikal pada alat berat seperti ekskavator, buldoser, grader, atau alat berat lainnya."
1044,Teknisi Alat Berat,Teknisi,"Membantu dalam menganalisis dan memperbaiki berbagai kerusakan mesin, komponen hidrolik, atau sistem listrik pada peralatan berat seperti excavator, dozer, grader, atau peralatan berat sejenis."
1045,Teknisi Alat Berat,Teknisi,"Melakukan identifikasi dan perbaikan masalah mekanik, hidrolik, atau listrik pada mesin-mesin berat seperti ekskavator, buldoser, grader, atau alat berat serupa."
1046,Teknisi Alat Berat,Teknisi,"Mengoperasikan alat-alat dan perangkat teknis, serta menggunakan instrumen diagnostik untuk menganalisis, mengidentifikasi, dan memperbaiki masalah pada alat berat."
1047,Teknisi Alat Berat,Teknisi,"Melakukan pengoperasian peralatan dan perangkat teknologi, serta menggunakan peralatan diagnostik guna melakukan analisis, mengenali, dan memperbaiki kerusakan pada peralatan berat."
1048,Teknisi Alat Berat,Teknisi,"Menjalankan perangkat dan peralatan teknis dan menggunakan alat diagnostik untuk menganalisis, mengenali, dan mengatasi masalah yang terjadi pada peralatan berat."
1049,Teknisi Alat Berat,Teknisi,Mengoperasikan perangkat diagnostik dan alat-alat lainnya untuk menganalisis masalah dan kinerja alat berat.
1050,Teknisi Alat Berat,Teknisi,Melakukan penggunaan perangkat diagnostik dan peralatan lainnya untuk menganalisis masalah dan performa mesin berat.
1051,Teknisi Alat Berat,Teknisi,Memanfaatkan peralatan diagnostik dan perangkat lainnya guna mengevaluasi masalah dan performa mesin berat.
1052,Teknisi AC,Teknisi,"Melakukan pemasangan, perawatan, dan perbaikan sistem pendingin udara (AC) untuk berbagai jenis lingkungan, seperti rumah, kantor, atau area komersial."
1053,Teknisi AC,Teknisi,"Melakukan instalasi, perawatan, dan perbaikan sistem pendingin udara (AC) pada berbagai lingkungan seperti rumah, kantor, atau area bisnis."
1054,Teknisi AC,Teknisi,"Melakukan instalasi, perawatan, dan perbaikan AC untuk beragam lingkungan, seperti tempat tinggal, tempat kerja, atau area bisnis."
1055,Teknisi AC,Teknisi,"Mendiagnosis masalah pada sistem AC, baik itu terkait dengan komponen elektrik, kompresor, refrigeran, atau sistem mekanikal lainnya."
1056,Teknisi AC,Teknisi,"Melakukan diagnosa terhadap masalah yang terjadi pada sistem pendinginan udara (AC), termasuk permasalahan yang terkait dengan bagian elektronik, kompresor, refrigeran, atau bagian mekanis lainnya."
1057,Teknisi AC,Teknisi,"Melakukan pengecekan terhadap masalah yang ada pada sistem AC, termasuk komponen listrik, kompresor, refrigeran, serta bagian mekanis lainnya."
1058,Teknisi AC,Teknisi,"Memasang dan mengganti bagian-bagian yang rusak atau usang pada sistem AC, termasuk kompresor, kondensor, evaporator, dan bagian lainnya."
1059,Teknisi AC,Teknisi,"Melakukan pemasangan serta penggantian komponen yang mengalami kerusakan atau keausan pada sistem pendingin udara, seperti kompresor, kondensor, evaporator, dan elemen lainnya."
1060,Teknisi AC,Teknisi,"Mengerjakan pemasangan dan penggantian bagian-bagian yang tidak berfungsi atau sudah aus pada sistem AC, melibatkan kompresor, kondensor, evaporator, dan bagian lainnya."
1061,Teknisi Kulkas,Teknisi,"Memahami sistem pendinginan dan komponen-komponen utama dalam kulkas seperti kompresor, evaporator, kondensor, dan kontrol suhu."
1062,Teknisi Kulkas,Teknisi,"Mengetahui tata cara kerja sistem pendinginan dan komponen utama dalam kulkas seperti kompresor, evaporator, kondensor, dan pengendali suhu."
1063,Teknisi Kulkas,Teknisi,"Mengerti tentang sistem pendinginan serta bagian-bagian utama dalam kulkas seperti kompresor, evaporator, kondensor, dan kontrol suhu."
1064,Teknisi Kulkas,Teknisi,"Mendiagnosis dan memperbaiki masalah yang terkait dengan kulkas, termasuk masalah suhu, kebocoran, atau masalah pada komponen-komponen kritis."
1065,Teknisi Kulkas,Teknisi,"Mendeteksi serta melakukan perbaikan terhadap berbagai kendala yang terkait dengan kulkas, mulai dari masalah suhu, kebocoran, hingga gangguan pada komponen-komponen krusial."
1066,Teknisi Kulkas,Teknisi,"Menangani diagnosis dan perbaikan atas beragam masalah terkait kulkas, termasuk masalah suhu, kebocoran, atau gangguan pada komponen-komponen utama."
1067,Teknisi Kulkas,Teknisi,Menguasai teknik pemeliharaan dan pembersihan kulkas untuk menjaga kinerja yang optimal dan memperpanjang umur pakai kulkas.
1068,Teknisi Kulkas,Teknisi,Menguasai metode perawatan dan kebersihan kulkas untuk menjaga kinerja yang optimal dan meningkatkan umur pakai perangkat tersebut.
1069,Teknisi Kulkas,Teknisi,Memiliki keahlian dalam merawat dan membersihkan kulkas untuk mempertahankan kinerja yang optimal dan memperpanjang masa pakainya.
1070,Teknisi Mesin Cuci,Teknisi,"Mendiagnosis masalah pada mesin cuci dan melakukan perbaikan yang diperlukan, seperti masalah pada motor, sistem air, atau bagian lainnya."
1071,Teknisi Mesin Cuci,Teknisi,"Mengidentifikasi kendala pada mesin cuci serta melakukan pembenahan yang dibutuhkan, seperti kendala pada motor, sistem air, atau komponen lainnya."
1072,Teknisi Mesin Cuci,Teknisi,"Menemukan kesulitan pada mesin cuci dan melakukan perbaikan yang diperlukan, seperti masalah pada motor, sistem air, atau bagian lainnya."
1073,Teknisi Mesin Cuci,Teknisi,Menjalankan inspeksi berkala dan pemeliharaan agar mesin cuci berkinerja optimal.
1074,Teknisi Mesin Cuci,Teknisi,Melaksanakan pemeriksaan rutin serta perawatan untuk memastikan kinerja terbaik mesin cuci.
1075,Teknisi Mesin Cuci,Teknisi,Menjalankan inspeksi berkala dan pemeliharaan agar mesin cuci berkinerja optimal.
1076,Teknisi Mesin Cuci,Teknisi,"Memahami sistem kerja dan komponen-komponen mesin cuci, termasuk sistem pengaturan suhu, siklus pencucian, dan bagian mekanikal lainnya."
1077,Teknisi Mesin Cuci,Teknisi,"Menguasai mekanisme kerja serta bagian-bagian mesin cuci, termasuk kontrol suhu, proses pencucian, dan komponen mekanik lainnya."
1078,Teknisi Mesin Cuci,Teknisi,"Familiar dengan operasi dan elemen-elemen mesin cuci, seperti pengaturan suhu, siklus mencuci, dan komponen mekanis yang lain."
1079,Teknisi TV,Teknisi,"Mendiagnosis dan memperbaiki berbagai masalah yang terkait dengan televisi, seperti masalah tampilan gambar, audio, atau masalah kelistrikan."
1080,Teknisi TV,Teknisi,"Mengidentifikasi dan memperbaiki berbagai kesulitan terkait televisi, seperti masalah tampilan gambar, audio, atau kelistrikan."
1081,Teknisi TV,Teknisi,"Menyelidiki dan memperbaiki berbagai masalah yang terkait dengan televisi, seperti masalah tampilan gambar, audio, atau kelistrikan."
1082,Teknisi TV,Teknisi,"Melakukan pemeliharaan rutin, penyetelan, dan pembersihan pada televisi untuk memastikan kinerja yang optimal."
1083,Teknisi TV,Teknisi,"Menyelenggarakan perawatan rutin, penyetelan, dan pembersihan pada televisi untuk memastikan kinerja yang terbaik."
1084,Teknisi TV,Teknisi,"Melaksanakan pemeliharaan terjadwal, penyetelan, dan pembersihan pada televisi demi kinerja yang optimal."
1085,Teknisi TV,Teknisi,"Memeriksa dan mengganti bagian-bagian yang rusak pada televisisi, seperti komponen elektronik, panel layar, atau bagian lain yang mengalami kerusakan."
1086,Teknisi TV,Teknisi,"Mengecek dan mengganti bagian-bagian yang bermasalah pada televisi, seperti komponen elektronik, panel layar, atau bagian lain yang rusak."
1087,Teknisi TV,Teknisi,"Melakukan pemeriksaan serta penggantian komponen yang rusak pada televisi, seperti komponen elektronik, layar panel, atau bagian lain yang bermasalah."
1088,Teknisi Kamera,Teknisi,"Mendiagnosis dan memperbaiki berbagai masalah yang terkait dengan kamera, baik kamera digital, kamera video, maupun peralatan fotografi lainnya."
1089,Teknisi Kamera,Teknisi,"Mengidentifikasi serta memperbaiki beragam kesulitan terkait kamera, seperti kamera digital, kamera video, dan perangkat fotografi lainnya."
1090,Teknisi Kamera,Teknisi,"Menyelidiki dan melakukan perbaikan terhadap berbagai masalah yang terkait dengan kamera, termasuk kamera digital, kamera video, atau peralatan fotografi lainnya."
1091,Teknisi Kamera,Teknisi,"Memeriksa dan mengganti bagian-bagian yang rusak atau aus pada kamera, seperti sensor gambar, lensa, atau komponen lain yang mengalami kerusakan."
1092,Teknisi Kamera,Teknisi,"Menyelidiki serta melakukan penggantian komponen yang rusak atau aus pada kamera, seperti sensor gambar, lensa, atau bagian lain yang mengalami kerusakan."
1093,Teknisi Kamera,Teknisi,"Melakukan pemeriksaan dan penggantian bagian-bagian yang rusak atau aus pada kamera, seperti sensor gambar, lensa, atau komponen lain yang bermasalah."
1094,Teknisi Kamera,Teknisi,"Memahami sistem kerja dan komponen-komponen dalam kamera, termasuk pengaturan eksposur, fokus, dan fitur-fitur lain yang terkait."
1095,Teknisi Kamera,Teknisi,"Menguasai sistem kerja serta komponen-komponen dalam kamera, termasuk pengaturan eksposur, fokus, dan fitur-fitur terkait."
1096,Teknisi Kamera,Teknisi,"Familiar dengan sistem kerja dan komponen-komponen dalam kamera, meliputi pengaturan eksposur, fokus, dan fitur-fitur terkait."
1097,Teknisi Printer,Teknisi,"Mendiagnosis serta melakukan perbaikan terhadap berbagai masalah yang terkait dengan printer, termasuk masalah cetakan, koneksi, atau masalah perangkat lunak."
1098,Teknisi Printer,Teknisi,"Menyelidiki dan memperbaiki beragam kesulitan yang terkait dengan printer, mulai dari masalah cetakan, koneksi, hingga masalah perangkat lunak."
1099,Teknisi Printer,Teknisi,"Melakukan diagnosis dan perbaikan terhadap berbagai masalah yang terkait dengan printer, seperti masalah cetakan, koneksi, atau perangkat lunak."
1100,Teknisi Printer,Teknisi,"Memeriksa dan mengganti bagian-bagian yang rusak atau aus pada printer, seperti roller, toner, cartridge, atau bagian lain yang mengalami kerusakan."
1101,Teknisi Printer,Teknisi,"Melakukan pemeriksaan serta penggantian komponen yang bermasalah pada printer, seperti roller, toner, cartridge, atau bagian lain yang rusak."
1102,Teknisi Printer,Teknisi,"Menyelidiki dan melakukan penggantian bagian-bagian yang rusak atau aus pada printer, seperti roller, toner, cartridge, atau komponen lain yang mengalami kerusakan."
1103,Teknisi Printer,Teknisi,"Memahami sistem kerja printer dan komponen-komponen dalamnya, termasuk proses cetak, koneksi, dan perangkat lunak yang terkait."
1104,Teknisi Printer,Teknisi,"Menguasai sistem kerja printer beserta komponen-komponen di dalamnya, termasuk proses pencetakan, koneksi, dan perangkat lunak yang terkait."
1105,Teknisi Printer,Teknisi,"Familiar dengan sistem kerja printer dan komponen-komponen di dalamnya, termasuk proses cetak, koneksi, dan perangkat lunak yang terkait."
1106,Teknisi CCTV,Teknisi,"Melakukan pemasangan atau instalasi, konfigurasi, dan pemeliharaan sistem Closed-Circuit Television (CCTV) untuk pengawasan keamanan."
1107,Teknisi CCTV,Teknisi,"Menangani pemasangan, konfigurasi, dan perawatan sistem Closed-Circuit Television (CCTV) untuk keperluan pengawasan keamanan."
1108,Teknisi CCTV,Teknisi,"Melaksanakan instalasi, konfigurasi, dan pemeliharaan sistem Closed-Circuit Television (CCTV) untuk memantau keamanan."
1109,Teknisi CCTV,Teknisi,"Mendiagnosis serta melakukan perbaikan pada masalah terkait dengan kamera CCTV, sistem penyimpanan data, atau kabel yang terhubung."
1110,Teknisi CCTV,Teknisi,"Menangani diagnosis dan perbaikan masalah terkait dengan kamera CCTV, sistem penyimpanan data, atau kabel yang terhubung."
1111,Teknisi CCTV,Teknisi,"Melakukan diagnosis serta perbaikan pada masalah yang terkait dengan kamera CCTV, sistem penyimpanan data, atau kabel yang terhubung."
1112,Teknisi CCTV,Teknisi,Memeriksa dan melakukan perawatan rutin pada perangkat CCTV untuk memastikan kinerja yang optimal.
1113,Teknisi CCTV,Teknisi,Menjalankan pemeriksaan serta melakukan perawatan berkala pada perangkat CCTV untuk memastikan kinerja yang terbaik.
1114,Teknisi CCTV,Teknisi,Melaksanakan pemeriksaan dan perawatan rutin pada perangkat CCTV guna memastikan kinerja yang optimal.
1115,Kuli Panggul,Logistik,"Mengangkut barang atau material dengan menggunakan alat bantu seperti kereta dorong, troli, atau alat pengangkut lainnya."
1116,Kuli Panggul,Logistik,"Memindahkan barang atau material dengan menggunakan alat bantu seperti kereta dorong, troli, atau alat pengangkut lainnya."
1117,Kuli Panggul,Logistik,"Menggerakkan barang atau material dengan alat bantu seperti kereta dorong, troli, atau alat pengangkut lainnya."
1118,Kuli Panggul,Logistik,"Memuat barang ke dalam kendaraan atau tempat penyimpanan, serta menata barang secara efisien untuk pengiriman atau penyimpanan."
1119,Kuli Panggul,Logistik,"Mengisi barang ke dalam kendaraan atau lokasi penyimpanan, sambil merapikan barang dengan efisiensi untuk pengiriman atau penyimpanan."
1120,Kuli Panggul,Logistik,"Memasukkan barang ke dalam kendaraan atau area penyimpanan, serta menyusun barang dengan efisien untuk pengiriman atau penyimpanan."
1121,Kuli Panggul,Logistik,Membantu dalam memuat ulang sisa barang dagangan yang tidak terjual ke dalam kendaraan setelah pasar selesai.
1122,Kuli Panggul,Logistik,Menolong dalam memuat ulang sisa barang dagangan yang tidak laku ke dalam kendaraan setelah pasar berakhir.
1123,Kuli Panggul,Logistik,Menyokong dalam mengisi kembali sisa barang dagangan yang tidak terjual ke dalam kendaraan setelah pasar selesai.
1124,Pemasang dan Penata Barang,Logistik,Menyusun dan menata barang dagangan dengan rapi di toko atau area pasar sehingga mudah diakses oleh pelanggan.
1125,Pemasang dan Penata Barang,Logistik,Merapikan dan menyusun barang dagangan secara rapi di toko atau area pasar agar mudah dijangkau oleh pelanggan.
1126,Pemasang dan Penata Barang,Logistik,Menata dan menyusun barang dagangan dengan tertib di toko atau area pasar untuk memudahkan akses oleh pelanggan.
1127,Pemasang dan Penata Barang,Logistik,Membantu dalam pemasangan display atau rak yang menarik untuk menampilkan produk secara menarik dan terstruktur.
1128,Pemasang dan Penata Barang,Logistik,Turut membantu dalam penataan display atau rak yang menarik untuk menampilkan produk secara menarik dan teratur.
1129,Pemasang dan Penata Barang,Logistik,Berpartisipasi dalam pemasangan display atau rak yang menarik untuk memamerkan produk secara menarik dan teratur.
1130,Pemasang dan Penata Barang,Logistik,"Memastikan bahwa tampilan barang selalu terlihat menarik dan terorganisir dengan baik, serta melakukan perubahan jika diperlukan."
1131,Pemasang dan Penata Barang,Logistik,"Menjamin penampilan barang senantiasa menarik dan terstruktur dengan baik, serta mengadakan perubahan jika diperlukan."
1132,Pemasang dan Penata Barang,Logistik,"Menyakinkan bahwa penampilan barang tetap menarik dan tertata dengan baik, serta melakukan penyesuaian jika diperlukan."
1133,Penjaga Parkir,Pelayanan,Memberikan arahan kepada pengendara mengenai tempat parkir yang tersedia dan memberikan bantuan jika diperlukan.
1134,Penjaga Parkir,Pelayanan,Mengarahkan pengendara mengenai tempat parkir yang tersedia dan memberikan pertolongan jika dibutuhkan.
1135,Penjaga Parkir,Pelayanan,Memberi petunjuk kepada pengendara tentang tempat parkir yang tersedia dan memberikan bantuan jika diperlukan.
1136,Penjaga Parkir,Pelayanan,Memantau kendaraan yang terparkir untuk memastikan keamanan dan mencegah tindak kriminal atau kerusakan.
1137,Penjaga Parkir,Pelayanan,Mengawasi kendaraan yang terparkir untuk menjaga keamanan dan mencegah tindakan kriminal atau kerusakan.
1138,Penjaga Parkir,Pelayanan,Mengamati kendaraan yang terparkir untuk memastikan keamanan dan mencegah kejahatan atau kerusakan.
1139,Penjaga Parkir,Pelayanan,"Melaporkan kegiatan harian, jumlah kendaraan, dan masalah yang mungkin timbul kepada manajemen atau pihak yang berwenang."
1140,Penjaga Parkir,Pelayanan,"Menyampaikan laporan harian, jumlah kendaraan, dan masalah potensial kepada manajemen atau pihak yang berwenang."
1141,Penjaga Parkir,Pelayanan,"Menginformasikan kegiatan harian, jumlah kendaraan, dan potensi masalah kepada manajemen atau pihak yang berwenang."
1142,Pembantu Penjualan,Penjualan,"Memberikan layanan pelanggan yang baik dengan memberikan informasi tentang produk, menjawab pertanyaan, dan memberikan bantuan saat dibutuhkan."
1143,Pembantu Penjualan,Penjualan,"Memberikan pelayanan pelanggan yang baik dengan memberikan informasi mengenai produk, menjawab pertanyaan, dan memberikan bantuan jika diperlukan."
1144,Pembantu Penjualan,Penjualan,"Memberikan layanan pelanggan yang berkualitas dengan memberikan informasi terkait produk, menjawab pertanyaan, dan memberikan bantuan sesuai kebutuhan."
1145,Pembantu Penjualan,Penjualan,"Menjaga kebersihan area penjualan dengan membersihkan toko, menjaga kebersihan barang dagangan, dan memastikan toko tetap rapi."
1146,Pembantu Penjualan,Penjualan,"Mempertahankan kebersihan area penjualan dengan membersihkan toko, merawat barang dagangan, dan menjaga toko agar tetap rapi."
1147,Pembantu Penjualan,Penjualan,"Mengurus kebersihan area penjualan dengan membersihkan toko, merapikan barang dagangan, dan menjaga kebersihan toko."
1148,Pembantu Penjualan,Penjualan,"Menjaga penampilan toko atau area penjualan dengan menata barang dagangan, menyiapkan display, dan memastikan stok tersedia."
1149,Pembantu Penjualan,Penjualan,"Merawat penampilan toko atau area penjualan dengan mengatur barang dagangan, menyiapkan display, dan memastikan ketersediaan stok."
1150,Pembantu Penjualan,Penjualan,"Memelihara penampilan toko atau area penjualan dengan mengatur barang dagangan, menyiapkan tampilan produk, dan memeriksa ketersediaan stok."
1151,Tukang kebersihan,Pelayanan,"Melakukan pembersihan lantai, dinding, dan permukaan lainnya dengan menggunakan peralatan pembersih seperti sapu, pel, dan alat pembersih lainnya."
1152,Tukang kebersihan,Pelayanan,"Membersihkan lantai, dinding, dan area lainnya dengan menggunakan alat pembersih seperti sapu, pel, dan peralatan pembersih lainnya."
1153,Tukang kebersihan,Pelayanan,"Melakukan kegiatan pembersihan lantai, dinding, dan area lainnya dengan menggunakan alat pembersih seperti sapu, pel, dan peralatan pembersih lainnya."
1154,Tukang kebersihan,Pelayanan,"Mengumpulkan, membuang, dan mengelola sampah serta limbah dengan memastikan tempat sampah tersedia dan teratur."
1155,Tukang kebersihan,Pelayanan,"Mengurus, membuang, dan mengelola sampah serta limbah dengan menjaga keberadaan tempat sampah yang tersedia dan teratur."
1156,Tukang kebersihan,Pelayanan,"Mengelola, membuang, dan mengumpulkan sampah serta limbah dengan menjaga ketersediaan tempat sampah yang teratur."
1157,Tukang kebersihan,Pelayanan,Membersihkan dan merawat area toilet atau kamar mandi umum untuk menjaga kebersihan dan kenyamanan pengguna.
1158,Tukang kebersihan,Pelayanan,Melakukan pembersihan dan pemeliharaan area toilet atau kamar mandi umum guna menjaga kebersihan dan kenyamanan para pengguna.
1159,Tukang kebersihan,Pelayanan,Mengurus kebersihan dan pemeliharaan area toilet atau kamar mandi umum untuk menjaga kebersihan dan kenyamanan pengunjung.
1160,Tukang Jaga Toko,Pelayanan,Memastikan keamanan dan keselamatan toko dengan mengawasi masuk dan keluar pelanggan serta mengamati aktivitas yang mencurigakan.
1161,Tukang Jaga Toko,Pelayanan,Menjamin keamanan dan keselamatan toko dengan mengawasi kedatangan dan kepergian pelanggan serta memantau aktivitas yang mencurigakan.
1162,Tukang Jaga Toko,Pelayanan,Menjaga keamanan dan keselamatan toko dengan mengawasi pelanggan yang masuk dan keluar serta memeriksa aktivitas yang mencurigakan.
1163,Tukang Jaga Toko,Pelayanan,"Membantu dalam proses penjualan dengan menjaga toko agar tetap terorganisir, membantu dalam pencarian produk, atau membantu dalam proses transaksi jika diperlukan."
1164,Tukang Jaga Toko,Pelayanan,"Memberikan kontribusi dalam proses penjualan dengan menjaga keteraturan toko, membantu mencari produk, atau membantu dalam proses transaksi jika diperlukan."
1165,Tukang Jaga Toko,Pelayanan,"Turut serta dalam proses penjualan dengan memastikan toko tetap teratur, membantu mencari produk, atau membantu dalam transaksi jika diperlukan."
1166,Tukang Jaga Toko,Pelayanan,"Memberikan sambutan dan arahan kepada pelanggan, menjawab pertanyaan mereka, serta memberikan bantuan jika diperlukan."
1167,Tukang Jaga Toko,Pelayanan,"Menyapa dan memberikan panduan kepada pelanggan, menjawab pertanyaan mereka, serta memberikan bantuan jika diperlukan."
1168,Tukang Jaga Toko,Pelayanan,"Memberi sambutan dan petunjuk kepada pelanggan, menjawab pertanyaan mereka, serta memberikan bantuan sesuai kebutuhan."
1169,Petugas Informasi,Pelayanan,"Memberikan informasi kepada pengunjung atau pelanggan mengenai produk, layanan, atau informasi umum terkait tempat atau acara tertentu."
1170,Petugas Informasi,Pelayanan,"Memberikan informasi kepada pengunjung atau pelanggan tentang produk, layanan, atau informasi umum terkait tempat atau acara tertentu."
1171,Petugas Informasi,Pelayanan,"Menyampaikan informasi kepada pengunjung atau pelanggan mengenai produk, layanan, atau informasi umum terkait tempat atau acara tertentu."
1172,Petugas Informasi,Pelayanan,"Memberikan bantuan dalam navigasi di area yang luas seperti pusat perbelanjaan, kawasan wisata, atau acara publik."
1173,Petugas Informasi,Pelayanan,"Membantu pengunjung dalam ber-navigasi di area yang luas seperti pusat perbelanjaan, kawasan wisata, atau acara publik."
1174,Petugas Informasi,Pelayanan,"Memberikan bantuan dalam menavigasi area yang luas seperti pusat perbelanjaan, kawasan wisata, atau acara publik."
1175,Petugas Informasi,Pelayanan,"Memberikan layanan pelanggan yang ramah, membantu, dan informatif untuk meningkatkan pengalaman pengunjung atau pelanggan."
1176,Petugas Informasi,Pelayanan,"Menyediakan layanan pelanggan yang ramah, membantu, dan informatif untuk meningkatkan pengalaman pengunjung atau pelanggan."
1177,Petugas Informasi,Pelayanan,"Memberikan layanan pelanggan yang bersahabat, membantu, dan informatif untuk meningkatkan pengalaman pengunjung atau pelanggan."
1178,Pengasuh Anak atau Babysitter,Pelayanan,"Merawat anak-anak dengan penuh perhatian, termasuk memberi makan, mandi, dan mengatur jadwal tidur."
1179,Pengasuh Anak atau Babysitter,Pelayanan,"Mengurus anak-anak dengan penuh perhatian, termasuk memberi makan, mandi, dan mengatur jadwal tidur."
1180,Pengasuh Anak atau Babysitter,Pelayanan,"Menjaga anak-anak dengan penuh perhatian, termasuk memberi makan, mandi, dan mengatur jadwal tidur."
1181,Pengasuh Anak atau Babysitter,Pelayanan,"Memantau anak-anak untuk memastikan keamanan mereka, serta mengambil tindakan preventif jika diperlukan."
1182,Pengasuh Anak atau Babysitter,Pelayanan,"Mengawasi anak-anak untuk memastikan keamanan mereka, serta mengambil langkah pencegahan jika diperlukan."
1183,Pengasuh Anak atau Babysitter,Pelayanan,"Mengamati anak-anak untuk memastikan keamanan mereka, serta bertindak preventif jika diperlukan."
1184,Pengasuh Anak atau Babysitter,Pelayanan,"Merencanakan dan melaksanakan aktivitas yang mendidik dan menyenangkan seperti membaca buku, bermain, atau mengajar keterampilan dasar."
1185,Pengasuh Anak atau Babysitter,Pelayanan,"Merencanakan dan menerapkan kegiatan yang mendidik dan menyenangkan seperti membaca buku, bermain, atau mengajar keterampilan dasar."
1186,Pengasuh Anak atau Babysitter,Pelayanan,"Merencanakan dan melakukan kegiatan yang bermanfaat dan menyenangkan seperti membaca buku, bermain, atau mengajar keterampilan dasar."
1187,Pengantar Makanan,Pelayanan,Mengambil pesanan makanan dari restoran atau tempat penyedia makanan sesuai dengan permintaan pelanggan.
1188,Pengantar Makanan,Pelayanan,Menerima pesanan makanan dari restoran atau tempat penyedia makanan sesuai dengan keinginan pelanggan.
1189,Pengantar Makanan,Pelayanan,Mengambil pesanan makanan dari restoran atau tempat penyedia makanan sesuai dengan yang diminta pelanggan.
1190,Pengantar Makanan,Pelayanan,Mengantarkan makanan dengan aman dan tepat waktu ke alamat yang ditentukan oleh pelanggan.
1191,Pengantar Makanan,Pelayanan,Memberikan pengantaran makanan dengan aman dan tepat waktu sesuai dengan alamat yang diminta pelanggan.
1192,Pengantar Makanan,Pelayanan,Mengirim makanan dengan aman dan tepat waktu ke alamat yang diinginkan oleh pelanggan.
1193,Pengantar Makanan,Pelayanan,Mengatur rute pengantaran yang efisien dan memastikan pengiriman tepat waktu untuk memenuhi kebutuhan pelanggan.
1194,Pengantar Makanan,Pelayanan,Menyusun jalur pengantaran yang efektif dan memastikan pengiriman dilakukan tepat waktu sesuai kebutuhan pelanggan.
1195,Pengantar Makanan,Pelayanan,Merencanakan rute pengiriman yang efisien dan memastikan pengantaran tepat waktu sesuai dengan permintaan pelanggan.
1196,Kurir Barang,Logistik,"Mengambil paket atau barang dari sumbernya, seperti kantor pos, gudang, atau toko."
1197,Kurir Barang,Logistik,"Menerima paket atau barang dari asalnya, seperti kantor pos, gudang, atau toko."
